QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.982020, 0.002500, 0.012090, -0.082030, 0.022910, 0.663660, 101.000000, 34.250000, 6 x 18, 34.000000, 34.300000,230.0, 0.060000, 0.080000, 8 x 23, 0.070000, -0.011560, 0.001910, 0.008070, -0.050440, -0.000080, 0.613960, 422.000000,34.0,0.129
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.990720, 0.001720, 0.006820, -0.033570, 0.023350, 0.538670, 21.000000, 31.260000, 35 x 18, 31.350000, 31.800000,232.5, 0.080000, 0.090000, 41 x 17, 0.080000, -0.015380, 0.002450, 0.009860, -0.060350, -0.000320, 0.587970, 279.000000,31.5,0.119
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.989900, 0.001940, 0.006540, -0.033540, 0.023410, 0.499590, 127.000000, 28.500000, 19 x 5, 28.900000, 29.250000,235.0, 0.100000, 0.110000, 15 x 38, 0.100000, -0.018610, 0.003040, 0.012540, -0.071560, -0.000940, 0.562410, 657.000000,29.0,0.11
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.981270, 0.003400, 0.012190, -0.064820, 0.024220, 0.509940, 44.000000, 25.250000, 32 x 24, 26.400000, 26.850000,237.5, 0.120000, 0.130000, 8 x 27, 0.130000, -0.023100, 0.003810, 0.014570, -0.082700, -0.000710, 0.533230, 283.000000,26.5,0.1
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.953840, 0.006330, 0.025350, -0.169900, 0.023440, 0.570030, 212.000000, 24.060000, 22 x 15, 24.000000, 24.650000,240.0, 0.150000, 0.160000, 6 x 27, 0.150000, -0.029160, 0.004940, 0.017610, -0.098810, -0.001220, 0.506290, 865.000000,24.0,0.091
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.962650, 0.006420, 0.021450, -0.118160, 0.023720, 0.479040, 39.000000, 21.370000, 30 x 10, 21.450000, 22.000000,242.5, 0.180000, 0.190000, 94 x 10, 0.180000, -0.036020, 0.006300, 0.021660, -0.112800, -0.000830, 0.474820, 198.000000,21.5,0.082
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.928860, 0.009970, 0.035990, -0.228720, 0.022830, 0.514180, 178.000000, 19.040000, 22 x 14, 19.050000, 19.900000,245.0, 0.240000, 0.250000, 51 x 2, 0.250000, -0.047690, 0.008280, 0.026610, -0.140250, -0.000990, 0.451230, 501.000000,19.0,0.072
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.932730, 0.011230, 0.034220, -0.180810, 0.023460, 0.433410, 255.000000, 17.680000, 18 x 14, 16.500000, 17.250000,247.5, 0.330000, 0.350000, 22 x 71, 0.330000, -0.066230, 0.011130, 0.034200, -0.179400, -0.002160, 0.431350, 869.000000,16.5,0.063
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.906300, 0.015030, 0.044960, -0.233530, 0.023180, 0.416510, , 14.500000, 28 x 11, 14.300000, 14.750000,250.0, 0.450000, 0.480000, 27 x 84, 0.450000, -0.089910, 0.014860, 0.043500, -0.222930, -0.002030, 0.410190, ,14.0,0.053
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.860970, 0.020000, 0.058940, -0.321800, 0.022350, 0.414710, , 12.120000, 29 x 16, 12.050000, 12.600000,252.5, 0.640000, 0.660000, 70 x 5, 0.660000, -0.123690, 0.019680, 0.055110, -0.276080, -0.003150, 0.389530, ,11.5,0.044
