[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,33.12,33.59,363.0,0.01,0.02, 4191 x 12059,0.02,-0.0042,0.00091,0.00267,-0.0155,0.0, 0.458190, 62.000000,33.4,0.084
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,32.12,32.59,364.0,0.01,0.02, 4932 x 12168,0.01,-0.00382,0.00096,0.00328,-0.0152,0.0, 0.443780, 25.000000,32.4,0.082
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,31.87, 500 x 500,31.12,31.59,365.0,0.01,0.02, 6463 x 11466,0.02,-0.00384,0.00107,0.00376,-0.01478,-0.00035, 0.430720, 343.000000,31.4,0.079
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,32.69, 500 x 500,30.13,30.59,366.0,0.01,0.02, 6607 x 12045,0.01,-0.00391,0.00109,0.00328,-0.01572,-0.00051, 0.417830, 39.000000,30.4,0.077
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,47.05, 500 x 500,29.13,29.59,367.0,0.01,0.02, 7531 x 12536,0.02,-0.00393,0.0012,0.00396,-0.01546,0.0, 0.403820, 13.000000,29.4,0.074
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 3.000000,23.4, 500 x 500,28.13,28.59,368.0,0.01,0.02, 8126 x 11893,0.02,-0.00442,0.0012,0.00364,-0.01564,0.0, 0.390420, 36.000000,28.4,0.072
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 1.000000,21.98, 500 x 500,27.13,27.59,369.0,0.01,0.02, 8526 x 11948,0.01,-0.0045,0.00131,0.00416,-0.01514,0.0, 0.377320, 118.000000,27.4,0.069
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 23.000000,25.49, 500 x 500,26.13,26.59,370.0,0.01,0.02, 8837 x 11675,0.02,-0.00448,0.00139,0.00379,-0.01502,-0.00021, 0.363810, 988.000000,26.4,0.067
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,26.64, 500 x 500,25.13,25.6,371.0,0.01,0.02, 8982 x 11668,0.02,-0.00498,0.00152,0.0037,-0.01515,-0.0002, 0.347790, 277.000000,25.4,0.064
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, 0.000280, 5.000000,19.1, 500 x 514,24.14,24.64,372.0,0.02,0.03, 655 x 12306,0.02,-0.00746,0.00216,0.00623,-0.02481,0.0, 0.355300, 264.000000,24.4,0.062
